pm_slug,pm_label,bf_market_id,bf_market_name,bf_runner_name,notes
2026-united-states-presidential-election-by-party,Dem 2028 nominee,,,
will-trump-be-impeached-in-his-second-term,Trump impeached 2nd term,,,
eurovision-winner-2026,Finland,,,,Filled in once Betfair app key is approved
eurovision-winner-2026,Sweden,,,,
eurovision-winner-2026,France,,,,
champions-league-winner-2025-2026,UEFA CL winner 2025-26,,,,
us-presidential-election-2028,Vance,,,,
us-presidential-election-2028,Newsom,,,,
us-presidential-election-2028,AOC,,,,
next-french-presidential-election,Bardella,,,,
next-french-presidential-election,Le Pen,,,,
next-french-presidential-election,Philippe,,,,
next-uk-prime-minister,Farage,,,,
next-uk-prime-minister,Starmer,,,,
chief-of-staff-departure,Wiles departs,,,,
fed-decision-in-may-2026,Fed no change May,,,,
fed-decision-in-june-2026,Fed no change June,,,,
2026-fifa-world-cup-winner,World Cup 2026 winner,,,,
masters-2026-winner,Masters 2026 winner,,,,
nba-finals-2026,NBA Finals 2026 winner,,,,
